Label (Grouping),United States,United States,United States,Alabama,Alabama,Alabama,Alaska,Alaska,Alaska,Arizona,Arizona,Arizona,Arkansas,Arkansas,Arkansas,California,California,California,Colorado,Colorado,Colorado,Connecticut,Connecticut,Connecticut,Delaware,Delaware,Delaware,District of Columbia,District of Columbia,District of Columbia,Florida,Florida,Florida,Georgia,Georgia,Georgia,Hawaii,Hawaii,Hawaii,Idaho,Idaho,Idaho,Illinois,Illinois,Illinois,Indiana,Indiana,Indiana,Iowa,Iowa,Iowa,Kansas,Kansas,Kansas,Kentucky,Kentucky,Kentucky,Louisiana,Louisiana,Louisiana,Maine,Maine,Maine,Maryland,Maryland,Maryland,Massachusetts,Massachusetts,Massachusetts,Michigan,Michigan,Michigan,Minnesota,Minnesota,Minnesota,Mississippi,Mississippi,Mississippi,Missouri,Missouri,Missouri,Montana,Montana,Montana,Nebraska,Nebraska,Nebraska,Nevada,Nevada,Nevada,New Hampshire,New Hampshire,New Hampshire,New Jersey,New Jersey,New Jersey,New Mexico,New Mexico,New Mexico,New York,New York,New York,North Carolina,North Carolina,North Carolina,North Dakota,North Dakota,North Dakota,Ohio,Ohio,Ohio,Oklahoma,Oklahoma,Oklahoma,Oregon,Oregon,Oregon,Pennsylvania,Pennsylvania,Pennsylvania,Rhode Island,Rhode Island,Rhode Island,South Carolina,South Carolina,South Carolina,South Dakota,South Dakota,South Dakota,Tennessee,Tennessee,Tennessee,Texas,Texas,Texas,Utah,Utah,Utah,Vermont,Vermont,Vermont,Virginia,Virginia,Virginia,Washington,Washington,Washington,West Virginia,West Virginia,West Virginia,Wisconsin,Wisconsin,Wisconsin,Wyoming,Wyoming,Wyoming,Puerto Rico,Puerto Rico,Puerto Rico
            Bachelor's degree or higher (2021),"79,597,834","3,674,131",4.6%,"943,873","47,818",5.1%,"158,931","6,446",4.1%,"1,608,414","79,325",4.9%,"510,430","24,300",4.8%,"9,704,281","510,733",5.3%,"1,794,363","70,992",4.0%,"1,062,929","41,816",3.9%,"252,370","11,573",4.6%,"301,007","12,082",4.0%,"5,212,574","304,656",5.8%,"2,496,940","111,477",4.5%,"359,295","21,118",5.9%,"385,286","17,660",4.6%,"3,227,595","150,136",4.7%,"1,311,195","51,539",3.9%,"649,017","24,672",3.8%,"684,347","27,458",4.0%,"827,484","36,698",4.4%,"819,781","47,047",5.7%,"363,487","17,517",4.8%,"1,812,395","64,904",3.6%,"2,285,443","93,798",4.1%,"2,197,826","91,095",4.1%,"1,510,760","47,184",3.1%,"485,297","25,972",5.4%,"1,333,310","52,070",3.9%,"265,843","12,528",4.7%,"443,709","17,041",3.8%,"602,918","41,619",6.9%,"404,720","10,940",2.7%,"2,781,836","108,357",3.9%,"434,276","27,360",6.3%,"5,559,683","311,254",5.6%,"2,521,418","105,525",4.2%,"159,931","5,745",3.6%,"2,481,075","106,565",4.3%,"733,322","35,548",4.8%,"1,098,797","60,636",5.5%,"3,148,687","128,601",4.1%,"280,417","11,397",4.1%,"1,128,608","47,625",4.2%,"185,575","8,313",4.5%,"1,462,216","65,553",4.5%,"6,350,516","290,604",4.6%,"736,871","33,833",4.6%,"205,115","9,079",4.4%,"2,476,117","83,818",3.4%,"2,097,102","89,852",4.3%,"304,109","14,476",4.8%,"1,321,094","50,536",3.8%,"115,249","7,240",6.3%,"681,924","104,459",15.3%
    EMPLOYMENT STATUS (2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Civilian labor force 16 years and over (2021),"165,827,242","11,546,499",7.0%,"2,300,338","195,132",8.5%,"352,241","23,161",6.6%,"3,500,552","246,437",7.0%,"1,393,357","117,665",8.4%,"19,715,302","1,319,878",6.7%,"3,157,820","187,325",5.9%,"1,917,915","106,924",5.6%,"485,049","32,365",6.7%,"379,074","29,698",7.8%,"10,547,584","752,137",7.1%,"5,296,371","394,709",7.5%,"684,510","45,788",6.7%,"929,001","66,137",7.1%,"6,525,970","443,462",6.8%,"3,389,361","223,983",6.6%,"1,654,005","117,063",7.1%,"1,490,169","106,316",7.1%,"2,084,930","173,117",8.3%,"2,112,414","235,860",11.2%,"697,856","35,263",5.1%,"3,242,045","171,161",5.3%,"3,795,343","201,619",5.3%,"4,924,418","357,312",7.3%,"3,083,408","168,677",5.5%,"1,306,157","127,993",9.8%,"3,063,763","218,629",7.1%,"546,300","42,456",7.8%,"1,034,517","65,388",6.3%,"1,576,056","129,369",8.2%,"765,397","24,760",3.2%,"4,882,043","267,371",5.5%,"949,488","104,982",11.1%,"10,032,229","709,591",7.1%,"5,162,005","385,143",7.5%,"401,173","30,051",7.5%,"5,874,573","413,787",7.0%,"1,882,082","171,760",9.1%,"2,135,461","157,745",7.4%,"6,541,992","404,208",6.2%,"582,860","36,015",6.2%,"2,447,871","195,613",8.0%,"457,051","32,532",7.1%,"3,397,653","245,355",7.2%,"14,658,174","1,174,916",8.0%,"1,699,635","99,556",5.9%,"341,097","18,526",5.4%,"4,385,453","252,593",5.8%,"3,909,305","206,005",5.3%,"765,591","67,583",8.8%,"3,073,761","191,043",6.2%,"296,522","22,340",7.5%,"1,248,687","322,555",25.8%
            Employed (2021),"155,426,604","8,672,108",5.6%,"2,177,826","150,393",6.9%,"327,638","16,273",5.0%,"3,298,207","187,474",5.7%,"1,316,626","91,009",6.9%,"18,081,516","924,321",5.1%,"2,991,538","143,949",4.8%,"1,790,939","76,242",4.3%,"458,024","25,000",5.5%,"348,505","17,164",4.9%,"9,959,241","592,867",6.0%,"5,005,456","309,499",6.2%,"631,962","31,961",5.1%,"898,427","58,280",6.5%,"6,049,459","311,688",5.2%,"3,230,447","172,979",5.4%,"1,595,604","97,035",6.1%,"1,427,236","88,105",6.2%,"1,971,884","134,500",6.8%,"1,950,936","176,217",9.0%,"664,089","26,179",3.9%,"3,050,607","124,264",4.1%,"3,547,169","148,199",4.2%,"4,585,957","262,668",5.7%,"2,934,771","133,538",4.6%,"1,222,295","96,001",7.9%,"2,922,410","179,112",6.1%,"524,847","36,286",6.9%,"1,007,840","56,608",5.6%,"1,423,245","84,168",5.9%,"737,703","19,708",2.7%,"4,489,147","182,514",4.1%,"875,677","79,644",9.1%,"9,156,637","476,796",5.2%,"4,865,210","293,804",6.0%,"390,259","26,366",6.8%,"5,557,295","312,696",5.6%,"1,771,052","136,869",7.7%,"2,000,642","117,229",5.9%,"6,127,858","288,208",4.7%,"538,924","23,817",4.4%,"2,310,304","150,471",6.5%,"444,710","28,229",6.3%,"3,218,825","187,581",5.8%,"13,753,512","920,493",6.7%,"1,640,700","82,740",5.0%,"327,088","15,153",4.6%,"4,177,054","195,531",4.7%,"3,680,060","153,596",4.2%,"718,118","48,737",6.8%,"2,965,342","160,703",5.4%,"285,786","19,244",6.7%,"1,085,333","227,842",21.0%
                Male (2021),"81,833,485","3,866,551",4.7%,"1,131,148","58,840",5.2%,"173,713","8,204",4.7%,"1,767,060","86,050",4.9%,"684,793","38,689",5.6%,"9,789,774","453,592",4.6%,"1,606,087","68,300",4.3%,"924,778","33,365",3.6%,"230,945","9,020",3.9%,"169,026","7,448",4.4%,"5,235,041","275,408",5.3%,"2,572,368","128,966",5.0%,"320,189","14,954",4.7%,"487,826","28,513",5.8%,"3,162,810","136,840",4.3%,"1,710,685","75,159",4.4%,"843,346","38,663",4.6%,"754,580","37,537",5.0%,"1,029,393","60,732",5.9%,"987,907","67,575",6.8%,"343,556","11,370",3.3%,"1,555,699","56,118",3.6%,"1,817,124","64,285",3.5%,"2,424,137","114,276",4.7%,"1,529,190","58,581",3.8%,"617,430","35,419",5.7%,"1,515,744","77,376",5.1%,"278,873","16,805",6.0%,"534,171","25,636",4.8%,"759,083","36,191",4.8%,"392,733","8,716",2.2%,"2,358,659","82,485",3.5%,"455,076","36,293",8.0%,"4,671,024","206,105",4.4%,"2,515,705","128,065",5.1%,"212,834","12,118",5.7%,"2,894,317","129,716",4.5%,"928,573","59,843",6.4%,"1,058,248","54,765",5.2%,"3,201,226","122,719",3.8%,"276,410","9,314",3.4%,"1,190,398","61,773",5.2%,"234,420","12,208",5.2%,"1,691,388","83,518",4.9%,"7,476,119","442,532",5.9%,"915,526","38,273",4.2%,"167,366","6,444",3.9%,"2,173,353","81,298",3.7%,"1,977,361","69,685",3.5%,"376,481","20,096",5.3%,"1,553,964","68,021",4.4%,"155,828","8,652",5.6%,"557,721","110,141",19.7%
                Female (2021),"73,593,119","4,805,557",6.5%,"1,046,678","91,553",8.7%,"153,925","8,069",5.2%,"1,531,147","101,424",6.6%,"631,833","52,320",8.3%,"8,291,742","470,729",5.7%,"1,385,451","75,649",5.5%,"866,161","42,877",5.0%,"227,079","15,980",7.0%,"179,479","9,716",5.4%,"4,724,200","317,459",6.7%,"2,433,088","180,533",7.4%,"311,773","17,007",5.5%,"410,601","29,767",7.2%,"2,886,649","174,848",6.1%,"1,519,762","97,820",6.4%,"752,258","58,372",7.8%,"672,656","50,568",7.5%,"942,491","73,768",7.8%,"963,029","108,642",11.3%,"320,533","14,809",4.6%,"1,494,908","68,146",4.6%,"1,730,045","83,914",4.9%,"2,161,820","148,392",6.9%,"1,405,581","74,957",5.3%,"604,865","60,582",10.0%,"1,406,666","101,736",7.2%,"245,974","19,481",7.9%,"473,669","30,972",6.5%,"664,162","47,977",7.2%,"344,970","10,992",3.2%,"2,130,488","100,029",4.7%,"420,601","43,351",10.3%,"4,485,613","270,691",6.0%,"2,349,505","165,739",7.1%,"177,425","14,248",8.0%,"2,662,978","182,980",6.9%,"842,479","77,026",9.1%,"942,394","62,464",6.6%,"2,926,632","165,489",5.7%,"262,514","14,503",5.5%,"1,119,906","88,698",7.9%,"210,290","16,021",7.6%,"1,527,437","104,063",6.8%,"6,277,393","477,961",7.6%,"725,174","44,467",6.1%,"159,722","8,709",5.5%,"2,003,701","114,233",5.7%,"1,702,699","83,911",4.9%,"341,637","28,641",8.4%,"1,411,378","92,682",6.6%,"129,958","10,592",8.2%,"527,612","117,701",22.3%
            Unemployed (2021),"10,400,638","2,874,391",27.6%,"122,512","44,739",36.5%,"24,603","6,888",28.0%,"202,345","58,963",29.1%,"76,731","26,656",34.7%,"1,633,786","395,557",24.2%,"166,282","43,376",26.1%,"126,976","30,682",24.2%,"27,025","7,365",27.3%,"30,569","12,534",41.0%,"588,343","159,270",27.1%,"290,915","85,210",29.3%,"52,548","13,827",26.3%,"30,574","7,857",25.7%,"476,511","131,774",27.7%,"158,914","51,004",32.1%,"58,401","20,028",34.3%,"62,933","18,211",28.9%,"113,046","38,617",34.2%,"161,478","59,643",36.9%,"33,767","9,084",26.9%,"191,438","46,897",24.5%,"248,174","53,420",21.5%,"338,461","94,644",28.0%,"148,637","35,139",23.6%,"83,862","31,992",38.1%,"141,353","39,517",28.0%,"21,453","6,170",28.8%,"26,677","8,780",32.9%,"152,811","45,201",29.6%,"27,694","5,052",18.2%,"392,896","84,857",21.6%,"73,811","25,338",34.3%,"875,592","232,795",26.6%,"296,795","91,339",30.8%,"10,914","3,685",33.8%,"317,278","101,091",31.9%,"111,030","34,891",31.4%,"134,819","40,516",30.1%,"414,134","116,000",28.0%,"43,936","12,198",27.8%,"137,567","45,142",32.8%,"12,341","4,303",34.9%,"178,828","57,774",32.3%,"904,662","254,423",28.1%,"58,935","16,816",28.5%,"14,009","3,373",24.1%,"208,399","57,062",27.4%,"229,245","52,409",22.9%,"47,473","18,846",39.7%,"108,419","30,340",28.0%,"10,736","3,096",28.8%,"163,354","94,713",58.0%
                Male (2021),"5,513,093","1,407,975",25.5%,"64,035","19,630",30.7%,"13,608","3,602",26.5%,"107,916","30,203",28.0%,"44,204","12,121",27.4%,"847,268","193,428",22.8%,"90,494","22,807",25.2%,"70,185","17,647",25.1%,"14,415","3,143",21.8%,"16,414","5,330",32.5%,"303,582","74,693",24.6%,"146,170","36,925",25.3%,"26,530","7,065",26.6%,"17,581","3,284",18.7%,"252,254","65,148",25.8%,"86,222","25,125",29.1%,"32,671","9,664",29.6%,"35,817","9,776",27.3%,"63,110","20,793",32.9%,"88,328","27,924",31.6%,"17,994","4,418",24.6%,"98,959","20,829",21.0%,"133,999","25,712",19.2%,"178,320","46,813",26.3%,"83,916","18,099",21.6%,"41,377","13,831",33.4%,"72,937","16,691",22.9%,"11,713","3,619",30.9%,"13,381","3,985",29.8%,"83,258","25,071",30.1%,"14,156","1,388",9.8%,"206,564","40,287",19.5%,"38,839","14,377",37.0%,"476,313","118,831",24.9%,"151,284","45,551",30.1%,"6,879","1,820",26.5%,"167,619","46,019",27.5%,"63,051","18,528",29.4%,"73,177","23,698",32.4%,"223,417","54,860",24.6%,"23,770","5,340",22.5%,"71,074","22,584",31.8%,"7,563","2,336",30.9%,"92,455","27,252",29.5%,"480,069","124,445",25.9%,"31,103","8,436",27.1%,"8,125","1,997",24.6%,"104,137","27,982",26.9%,"121,072","26,667",22.0%,"27,007","9,663",35.8%,"61,948","16,566",26.7%,"6,813","1,972",28.9%,"87,013","47,045",54.1%
                Female (2021),"4,887,545","1,466,416",30.0%,"58,477","25,109",42.9%,"10,995","3,286",29.9%,"94,429","28,760",30.5%,"32,527","14,535",44.7%,"786,518","202,129",25.7%,"75,788","20,569",27.1%,"56,791","13,035",23.0%,"12,610","4,222",33.5%,"14,155","7,204",50.9%,"284,761","84,577",29.7%,"144,745","48,285",33.4%,"26,018","6,762",26.0%,"12,993","4,573",35.2%,"224,257","66,626",29.7%,"72,692","25,879",35.6%,"25,730","10,364",40.3%,"27,116","8,435",31.1%,"49,936","17,824",35.7%,"73,150","31,719",43.4%,"15,773","4,666",29.6%,"92,479","26,068",28.2%,"114,175","27,708",24.3%,"160,141","47,831",29.9%,"64,721","17,040",26.3%,"42,485","18,161",42.7%,"68,416","22,826",33.4%,"9,740","2,551",26.2%,"13,296","4,795",36.1%,"69,553","20,130",28.9%,"13,538","3,664",27.1%,"186,332","44,570",23.9%,"34,972","10,961",31.3%,"399,279","113,964",28.5%,"145,511","45,788",31.5%,"4,035","1,865",46.2%,"149,659","55,072",36.8%,"47,979","16,363",34.1%,"61,642","16,818",27.3%,"190,717","61,140",32.1%,"20,166","6,858",34.0%,"66,493","22,558",33.9%,"4,778","1,967",41.2%,"86,373","30,522",35.3%,"424,593","129,978",30.6%,"27,832","8,380",30.1%,"5,884","1,376",23.4%,"104,262","29,080",27.9%,"108,173","25,742",23.8%,"20,466","9,183",44.9%,"46,471","13,774",29.6%,"3,923","1,124",28.7%,"76,341","47,668",62.4%
    WORK EXPERIENCE (2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Population 16 years and over (2021),"260,427,950","30,396,108",11.7%,"3,942,981","571,945",14.5%,"558,541","55,459",9.9%,"5,729,139","665,585",11.6%,"2,335,005","340,588",14.6%,"30,882,374","3,529,413",11.4%,"4,620,409","423,908",9.2%,"2,878,415","272,913",9.5%,"797,943","80,611",10.1%,"523,922","78,720",15.0%,"17,663,110","2,134,675",12.1%,"8,340,856","1,020,351",12.2%,"1,134,067","120,124",10.6%,"1,459,985","150,106",10.3%,"9,949,699","1,096,661",11.0%,"5,235,997","578,110",11.0%,"2,462,467","264,454",10.7%,"2,247,289","249,734",11.1%,"3,502,321","525,101",15.0%,"3,551,981","619,039",17.4%,"1,126,790","121,774",10.8%,"4,842,470","450,292",9.3%,"5,574,497","548,867",9.8%,"7,984,424","948,394",11.9%,"4,458,670","395,561",8.9%,"2,262,659","383,276",16.9%,"4,810,939","563,449",11.7%,"876,455","98,447",11.2%,"1,492,174","151,537",10.2%,"2,497,267","321,899",12.9%,"1,128,400","76,541",6.8%,"7,336,416","676,121",9.2%,"1,665,755","281,999",16.9%,"15,773,640","2,021,318",12.8%,"8,287,351","1,006,974",12.2%,"590,440","66,546",11.3%,"9,211,728","1,107,681",12.0%,"3,048,169","426,818",14.0%,"3,427,713","405,353",11.8%,"10,245,696","1,118,745",10.9%,"874,819","92,998",10.6%,"4,095,262","542,708",13.3%,"676,419","77,653",11.5%,"5,480,874","683,564",12.5%,"22,422,004","2,826,330",12.6%,"2,467,851","214,911",8.7%,"520,047","52,927",10.2%,"6,762,288","637,707",9.4%,"6,139,918","576,608",9.4%,"1,425,734","224,119",15.7%,"4,653,515","468,980",10.1%,"451,065","48,514",10.8%,"2,770,612","1,051,580",38.0%
"            Worked full-time, year-round in the past 12 months (2021)","111,284,928","2,566,670",2.3%,"1,622,243","52,087",3.2%,"230,536","4,800",2.1%,"2,383,715","55,649",2.3%,"990,157","31,877",3.2%,"12,529,379","255,766",2.0%,"2,150,331","41,892",1.9%,"1,248,473","16,948",1.4%,"328,727","6,638",2.0%,"277,475","3,399",1.2%,"7,245,829","193,366",2.7%,"3,721,924","109,101",2.9%,"457,132","10,298",2.3%,"607,896","20,102",3.3%,"4,333,192","91,633",2.1%,"2,305,706","51,003",2.2%,"1,144,601","25,672",2.2%,"1,050,699","25,666",2.4%,"1,400,101","40,387",2.9%,"1,425,760","61,584",4.3%,"466,021","7,287",1.6%,"2,300,701","36,336",1.6%,"2,460,244","31,074",1.3%,"3,056,893","69,665",2.3%,"2,022,833","31,232",1.5%,"928,886","39,898",4.3%,"2,114,540","54,405",2.6%,"349,791","10,017",2.9%,"740,100","18,016",2.4%,"989,906","25,903",2.6%,"525,385","3,525",0.7%,"3,200,666","45,260",1.4%,"626,690","28,069",4.5%,"6,354,469","109,385",1.7%,"3,569,273","93,598",2.6%,"280,341","5,855",2.1%,"3,929,624","80,763",2.1%,"1,306,002","47,565",3.6%,"1,341,077","25,611",1.9%,"4,380,112","79,815",1.8%,"380,784","6,633",1.7%,"1,706,467","51,441",3.0%,"324,127","7,337",2.3%,"2,368,567","57,701",2.4%,"10,227,438","324,939",3.2%,"1,100,832","20,971",1.9%,"223,726","2,736",1.2%,"3,167,406","56,115",1.8%,"2,580,507","37,055",1.4%,"524,263","13,855",2.6%,"2,092,165","42,846",2.0%,"191,216","3,894",2.0%,"698,951","62,403",8.9%
            Worked part-time or part-year in the past 12 months (2021),"59,189,772","8,712,129",14.7%,"764,782","144,288",18.9%,"159,967","18,435",11.5%,"1,221,544","184,107",15.1%,"444,750","87,470",19.7%,"7,262,928","929,276",12.8%,"1,140,324","152,178",13.3%,"705,802","85,079",12.1%,"173,517","25,208",14.5%,"103,028","21,295",20.7%,"3,585,063","542,214",15.1%,"1,761,544","282,507",16.0%,"266,630","31,865",12.0%,"379,986","51,257",13.5%,"2,269,078","309,624",13.6%,"1,219,245","184,928",15.2%,"594,869","97,389",16.4%,"513,055","86,135",16.8%,"769,519","139,465",18.1%,"738,553","162,887",22.1%,"270,882","29,448",10.9%,"1,021,521","125,745",12.3%,"1,400,975","160,054",11.4%,"2,026,279","287,871",14.2%,"1,182,799","146,357",12.4%,"419,221","86,166",20.6%,"1,082,186","175,476",16.2%,"235,225","37,003",15.7%,"352,569","53,432",15.2%,"596,708","87,046",14.6%,"274,594","22,841",8.3%,"1,711,273","193,181",11.3%,"349,804","71,953",20.6%,"3,750,214","536,220",14.3%,"1,817,515","291,867",16.1%,"153,773","28,507",18.5%,"2,152,612","342,295",15.9%,"644,853","125,167",19.4%,"881,199","135,430",15.4%,"2,320,683","303,425",13.1%,"213,298","28,496",13.4%,"825,251","143,786",17.4%,"163,288","27,440",16.8%,"1,154,238","186,852",16.2%,"4,812,519","835,739",17.4%,"686,450","83,997",12.2%,"135,933","17,674",13.0%,"1,443,815","200,808",13.9%,"1,511,336","174,303",11.5%,"274,130","55,755",20.3%,"1,127,353","161,113",14.3%,"123,092","21,075",17.1%,"478,082","202,613",42.4%
            Did not work (2021),"89,953,250","19,117,309",21.3%,"1,555,956","375,570",24.1%,"168,038","32,224",19.2%,"2,123,880","425,829",20.0%,"900,098","221,241",24.6%,"11,090,067","2,344,371",21.1%,"1,329,754","229,838",17.3%,"924,140","170,886",18.5%,"295,699","48,765",16.5%,"143,419","54,026",37.7%,"6,832,218","1,399,095",20.5%,"2,857,388","628,743",22.0%,"410,305","77,961",19.0%,"472,103","78,747",16.7%,"3,347,429","695,404",20.8%,"1,711,046","342,179",20.0%,"722,997","141,393",19.6%,"683,535","137,933",20.2%,"1,332,701","345,249",25.9%,"1,387,668","394,568",28.4%,"389,887","85,039",21.8%,"1,520,248","288,211",19.0%,"1,713,278","357,739",20.9%,"2,901,252","590,858",20.4%,"1,253,038","217,972",17.4%,"914,552","257,212",28.1%,"1,614,213","333,568",20.7%,"291,439","51,427",17.6%,"399,505","80,089",20.0%,"910,653","208,950",22.9%,"328,421","50,175",15.3%,"2,424,477","437,680",18.1%,"689,261","181,977",26.4%,"5,668,957","1,375,713",24.3%,"2,900,563","621,509",21.4%,"156,326","32,184",20.6%,"3,129,492","684,623",21.9%,"1,097,314","254,086",23.2%,"1,205,437","244,312",20.3%,"3,544,901","735,505",20.7%,"280,737","57,869",20.6%,"1,563,544","347,481",22.2%,"189,004","42,876",22.7%,"1,958,069","439,011",22.4%,"7,382,047","1,665,652",22.6%,"680,569","109,943",16.2%,"160,388","32,517",20.3%,"2,151,067","380,784",17.7%,"2,048,075","365,250",17.8%,"627,341","154,509",24.6%,"1,433,997","265,021",18.5%,"136,757","23,545",17.2%,"1,593,579","786,564",49.4%
    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS (2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        50 percent of poverty level (2021),"20,039,537",(X),(X),"358,721",(X),(X),"36,394",(X),(X),"463,060",(X),(X),"215,058",(X),(X),"2,360,741",(X),(X),"276,581",(X),(X),"184,320",(X),(X),"57,527",(X),(X),"66,124",(X),(X),"1,331,879",(X),(X),"711,562",(X),(X),"77,776",(X),(X),"87,885",(X),(X),"742,192",(X),(X),"404,254",(X),(X),"157,369",(X),(X),"161,972",(X),(X),"348,544",(X),(X),"421,547",(X),(X),"67,284",(X),(X),"304,135",(X),(X),"353,336",(X),(X),"607,530",(X),(X),"236,942",(X),(X),"251,945",(X),(X),"336,119",(X),(X),"59,392",(X),(X),"100,144",(X),(X),"232,133",(X),(X),"49,839",(X),(X),"444,098",(X),(X),"193,305",(X),(X),"1,338,023",(X),(X),"668,153",(X),(X),"45,455",(X),(X),"752,267",(X),(X),"280,153",(X),(X),"235,662",(X),(X),"737,113",(X),(X),"58,694",(X),(X),"368,185",(X),(X),"50,696",(X),(X),"458,780",(X),(X),"1,909,988",(X),(X),"135,019",(X),(X),"32,075",(X),(X),"420,008",(X),(X),"386,289",(X),(X),"138,024",(X),(X),"293,421",(X),(X),"31,824",(X),(X),"678,095",(X),(X)
        125 percent of poverty level (2021),"53,659,559",(X),(X),"1,044,187",(X),(X),"96,558",(X),(X),"1,195,884",(X),(X),"634,069",(X),(X),"6,176,926",(X),(X),"715,231",(X),(X),"446,075",(X),(X),"147,888",(X),(X),"116,745",(X),(X),"3,710,020",(X),(X),"1,894,945",(X),(X),"194,832",(X),(X),"279,800",(X),(X),"1,903,050",(X),(X),"1,069,496",(X),(X),"453,932",(X),(X),"431,838",(X),(X),"939,435",(X),(X),"1,097,615",(X),(X),"196,181",(X),(X),"782,043",(X),(X),"884,315",(X),(X),"1,669,077",(X),(X),"681,859",(X),(X),"707,631",(X),(X),"998,376",(X),(X),"171,773",(X),(X),"277,837",(X),(X),"578,248",(X),(X),"121,381",(X),(X),"1,186,666",(X),(X),"496,626",(X),(X),"3,403,383",(X),(X),"1,807,974",(X),(X),"108,035",(X),(X),"1,957,516",(X),(X),"784,961",(X),(X),"663,988",(X),(X),"1,932,300",(X),(X),"154,968",(X),(X),"948,919",(X),(X),"141,013",(X),(X),"1,251,409",(X),(X),"5,369,720",(X),(X),"389,046",(X),(X),"84,592",(X),(X),"1,107,868",(X),(X),"976,710",(X),(X),"383,084",(X),(X),"809,760",(X),(X),"83,774",(X),(X),"1,610,731",(X),(X)
        150 percent of poverty level (2021),"66,893,357",(X),(X),"1,274,578",(X),(X),"122,283",(X),(X),"1,491,103",(X),(X),"796,618",(X),(X),"7,703,268",(X),(X),"896,951",(X),(X),"553,600",(X),(X),"179,475",(X),(X),"134,884",(X),(X),"4,699,412",(X),(X),"2,353,372",(X),(X),"234,611",(X),(X),"368,598",(X),(X),"2,389,797",(X),(X),"1,351,499",(X),(X),"572,655",(X),(X),"557,918",(X),(X),"1,154,611",(X),(X),"1,325,145",(X),(X),"244,008",(X),(X),"957,785",(X),(X),"1,072,281",(X),(X),"2,067,862",(X),(X),"860,349",(X),(X),"869,817",(X),(X),"1,262,001",(X),(X),"215,834",(X),(X),"342,721",(X),(X),"716,604",(X),(X),"160,518",(X),(X),"1,447,229",(X),(X),"601,848",(X),(X),"4,128,763",(X),(X),"2,276,694",(X),(X),"138,585",(X),(X),"2,439,503",(X),(X),"994,270",(X),(X),"839,862",(X),(X),"2,407,913",(X),(X),"194,939",(X),(X),"1,179,982",(X),(X),"167,848",(X),(X),"1,559,098",(X),(X),"6,747,628",(X),(X),"509,934",(X),(X),"102,484",(X),(X),"1,384,145",(X),(X),"1,230,174",(X),(X),"477,605",(X),(X),"1,026,634",(X),(X),"108,061",(X),(X),"1,882,000",(X),(X)
        185 percent of poverty level (2021),"84,778,603",(X),(X),"1,605,513",(X),(X),"155,691",(X),(X),"1,920,429",(X),(X),"1,013,175",(X),(X),"9,726,300",(X),(X),"1,147,385",(X),(X),"698,014",(X),(X),"226,331",(X),(X),"154,932",(X),(X),"6,075,730",(X),(X),"2,977,182",(X),(X),"300,719",(X),(X),"499,843",(X),(X),"3,036,148",(X),(X),"1,740,069",(X),(X),"745,992",(X),(X),"728,860",(X),(X),"1,426,742",(X),(X),"1,603,607",(X),(X),"309,383",(X),(X),"1,186,249",(X),(X),"1,333,386",(X),(X),"2,622,838",(X),(X),"1,122,303",(X),(X),"1,049,722",(X),(X),"1,620,014",(X),(X),"286,227",(X),(X),"451,259",(X),(X),"903,102",(X),(X),"213,517",(X),(X),"1,836,912",(X),(X),"730,763",(X),(X),"5,037,229",(X),(X),"2,924,605",(X),(X),"180,314",(X),(X),"3,063,554",(X),(X),"1,273,536",(X),(X),"1,070,248",(X),(X),"3,045,761",(X),(X),"248,786",(X),(X),"1,497,358",(X),(X),"219,748",(X),(X),"1,993,508",(X),(X),"8,559,601",(X),(X),"694,262",(X),(X),"132,449",(X),(X),"1,770,777",(X),(X),"1,570,351",(X),(X),"594,050",(X),(X),"1,315,771",(X),(X),"138,358",(X),(X),"2,165,518",(X),(X)
